Id,SalePrice
1461,124493.02352920246
1462,153413.06525249186
1463,194639.03436305549
1464,196993.11304525426
1465,190908.47436141415
1466,177621.38008649394
1467,184856.84214105635
1468,166802.09654094547
1469,188153.12689575908
1470,128876.50627845031
1471,198009.73338632256
1472,93580.47869004204
1473,95545.2094986043
1474,152867.30908409544
1475,113583.45481068485
1476,370825.3098504613
1477,244166.95035707278
1478,267261.853721124
1479,272111.49010600336
1480,466216.6864603179
1481,342367.6859106625
1482,202216.95395324568
1483,179020.00486848663
1484,171089.42287756334
1485,170792.84378839482
1486,190357.83405018676
1487,367266.0555475782
1488,239346.74157362198
1489,196821.51374089823
1490,231132.98835718585
1491,192578.54298075745
1492,87794.16857187168
1493,184788.09341676495
1494,296699.01698424126
1495,293820.2871652604
1496,246419.96293227165
1497,188480.2740900942
1498,157786.18228302142
1499,155003.3858100137
1500,159979.12600909022
1501,186509.0029599386
1502,139999.87624642663
1503,276760.79269327316
1504,222647.14387249044
1505,231185.15714054822
1506,170149.7589809494
1507,265375.91810517135
1508,201316.40271866773
1509,150401.02839089805
1510,146662.8774064115
1511,145321.75788355144
1512,165472.46464284317
1513,123728.33660286306
1514,160122.15339166328
1515,195862.80855305516
1516,154192.88135095197
1517,165111.16108830142
1518,126363.85834667295
1519,227825.9997511194
1520,132017.5134198344
1521,136149.93874014931
1522,170393.54613739706
1523,113423.6571525401
1524,121984.85452600535
1525,123345.5226103938
1526,118611.1741130324
1527,103827.11105618412
1528,133987.47539798784
1529,152540.82519851986
1530,170116.4223229958
1531,115344.49950740462
1532,96745.76361348177
1533,146592.50988924544
1534,129228.85257118396
1535,157953.42496774747
1536,110605.9170407489
1537,84137.17534387184
1538,138126.98861781682
1539,160504.17421364458
1540,104591.63753868255
1541,140489.6673112683
1542,140315.14210387325
1543,206802.6855026249
1544,74785.98161841684
1545,102672.63870972888
1546,128487.81932467283
1547,138781.5766591216
1548,130081.46816548482
1549,114626.64222239102
1550,142535.3703604016
1551,113328.66512963615
1552,145855.00335833512
1553,161058.9890959552
1554,111439.02230760417
1555,158516.86033933543
1556,82204.28239712011
1557,105037.76716478914
1558,83153.40258654759
1559,104950.07684188873
1560,141427.93367125533
1561,127317.84836198919
1562,133580.83731416677
1563,121806.15860875792
1564,165894.3974843595
1565,165120.83740935824
1566,218607.57549584672
1567,73645.60491787618
1568,240880.43984844047
1569,154346.60616441572
1570,131639.8359276834
1571,128471.17579809557
1572,145405.93671512546
1573,255838.54866647287
1574,122418.29310933415
1575,218013.2195164118
1576,221129.1598432156
1577,193653.82651666703
